machine_id,machine_age,usage_intensity,operating_temp,load_factor,rpm,vibration_level,oil_quality,maintenance_count,environment,manufacturer,observed_time,event_observed
M0134,5.06,0.83,91.64,0.68,2084,0.652,0.077,11,outdoor,C,28.99,1
M0135,14.14,1.52,103.16,0.44,1984,9.655,0.018,9,indoor,A,95.76,1
M0136,4.85,0.61,113.42,0.73,541,4.081,0.102,19,indoor,A,110.37,1
M0137,7.78,1.78,64.76,0.82,2322,6.231,0.41,14,indoor,B,76.85,0
M0138,10.55,1.24,103.89,0.82,1309,1.257,0.933,6,outdoor,B,32.13,1
M0139,5.45,1.22,71.24,0.67,2163,6.99,0.637,8,indoor,C,44.78,1
M0140,14.58,1.39,111.49,0.35,1891,9.359,0.802,9,indoor,B,14.94,1
M0141,14.44,1.74,109.14,0.56,1357,5.969,0.466,9,outdoor,B,59.22,1
M0142,3.78,1.02,92.45,0.94,836,1.698,0.362,15,outdoor,B,65.29,1
M0143,7.46,1.52,102.61,0.71,736,6.026,0.108,6,outdoor,A,139.59,1
M0144,4.51,1.35,78.86,0.68,2579,7.78,0.876,4,indoor,B,96.7,1
M0145,4.27,0.9,88.27,0.49,2796,4.361,0.783,2,indoor,C,58.88,0
M0146,0.55,1.82,109.3,0.56,2124,8.858,0.168,17,harsh,A,66.58,1
M0147,9.14,1.7,87.56,0.93,759,6.662,0.512,10,indoor,B,32.46,1
M0148,7.54,1.49,81.47,0.77,1505,9.043,0.487,14,harsh,B,52.83,1
M0149,0.77,1.78,89.65,0.85,2322,6.423,0.625,20,harsh,A,197.1,0
M0150,4.18,1.8,109.69,0.62,2450,1.747,0.946,19,outdoor,A,143.76,1
M0151,13.62,1.56,80.11,0.74,796,3.442,0.58,4,indoor,C,130.11,1
M0152,3.59,1.76,70.43,0.47,500,2.417,0.54,11,harsh,A,129.2,1
M0153,2.17,1.55,102.72,0.79,2280,9.134,0.05,3,outdoor,A,29.73,1
M0154,7.34,1.52,109.56,0.6,1391,7.724,0.063,14,outdoor,A,49.14,1
M0155,14.78,1.43,66.04,0.61,1136,6.926,0.187,8,indoor,B,5.88,1
M0156,3.63,1.63,74.39,0.75,532,3.359,0.032,6,indoor,B,76.3,1
M0157,10.08,0.74,68.52,0.96,1851,2.248,0.743,9,indoor,B,40.71,1
M0158,11.42,1.82,80.88,0.34,2628,7.686,0.723,12,outdoor,A,73.47,1
M0159,3.56,1.81,87.02,0.88,2894,5.005,0.136,7,outdoor,C,78.96,1
M0160,10.92,0.54,104.93,0.5,1914,2.645,0.836,11,indoor,A,59.03,0
M0161,5.52,1.74,99.07,0.61,1786,6.358,0.155,18,outdoor,A,57.1,0
M0162,9.48,0.69,97.26,0.32,713,0.883,0.301,0,indoor,B,192.43,1
M0163,9.5,1.0,81.14,0.51,1872,3.599,0.249,15,outdoor,A,26.94,1
M0164,8.04,1.62,110.49,0.65,1450,4.951,0.372,16,harsh,C,6.37,1
M0165,1.35,0.74,88.28,0.34,2018,1.906,0.255,17,indoor,C,124.9,1
M0166,12.53,1.73,118.75,0.64,1472,9.854,0.489,10,indoor,A,55.87,1
M0167,4.81,1.75,98.05,0.95,1101,2.486,0.407,17,indoor,C,54.78,1
M0168,2.8,1.26,67.58,0.37,737,1.738,0.987,6,outdoor,C,60.91,1
M0169,0.61,0.51,100.57,0.84,1287,2.434,0.056,17,outdoor,C,56.48,1
M0170,8.86,0.93,79.51,0.59,742,7.806,0.142,7,harsh,A,67.67,1
M0171,10.16,1.43,101.18,0.76,942,4.542,0.053,5,indoor,B,78.17,1
M0172,0.25,1.97,64.18,0.48,2968,5.871,0.626,6,harsh,A,68.92,1
M0173,7.68,1.45,70.49,0.41,1610,0.7,0.055,9,indoor,C,114.64,1
M0174,3.4,0.89,111.34,0.41,1830,0.827,0.836,10,outdoor,A,78.42,1
M0175,9.68,1.45,73.63,0.35,2684,4.735,0.512,12,indoor,B,59.33,1
M0176,2.62,1.31,110.22,0.43,2989,8.258,0.527,8,harsh,A,29.65,1
M0177,10.36,1.67,76.76,0.76,1957,8.91,0.562,6,outdoor,A,59.1,1
M0178,5.8,0.66,98.57,0.92,2531,1.324,0.171,8,outdoor,B,114.63,1
M0179,14.05,1.64,101.65,0.87,1317,5.614,0.198,12,harsh,C,62.99,1
M0180,2.06,1.31,90.76,0.78,1264,9.176,0.319,2,indoor,B,107.24,1
M0181,5.12,1.94,78.32,0.38,1507,4.186,0.593,2,indoor,C,46.68,1
M0182,1.7,1.01,72.76,0.5,2181,8.381,0.21,0,harsh,A,73.65,1
M0183,13.87,1.45,61.99,0.52,2205,1.77,0.116,20,indoor,B,118.13,1
M0184,13.16,1.9,78.24,0.47,1288,9.386,0.97,19,indoor,B,82.35,1
M0185,3.87,0.65,99.19,0.66,833,7.639,0.022,1,outdoor,A,90.38,1
M0186,9.9,1.91,116.3,0.67,2081,9.443,0.803,2,outdoor,B,57.19,1
M0187,12.26,1.53,112.27,0.55,821,6.928,0.788,14,indoor,B,88.73,1
M0188,8.33,0.6,105.96,0.55,1946,3.952,0.297,5,indoor,B,102.33,0
M0189,7.94,0.95,107.31,0.88,2234,9.413,0.136,12,indoor,B,32.92,1
M0190,3.63,1.56,99.9,0.85,2252,3.118,0.146,20,outdoor,B,121.48,1
M0191,1.4,0.6,75.62,0.52,2384,3.656,0.697,0,harsh,A,32.69,1
M0192,13.46,1.37,114.43,0.94,2682,7.158,0.643,19,harsh,A,17.48,1
M0193,13.51,1.02,100.24,0.97,1750,7.771,0.783,18,outdoor,B,161.92,1
M0194,9.5,1.43,93.63,0.53,2326,9.329,0.937,0,indoor,A,136.32,0
M0195,5.09,0.57,66.66,0.55,2048,2.446,0.692,20,harsh,A,26.72,1
M0196,5.24,1.81,86.82,0.65,967,8.081,0.156,1,outdoor,B,65.42,1
M0197,10.89,1.96,87.62,0.96,564,7.516,0.243,14,indoor,B,47.25,1
M0198,13.46,1.95,111.87,0.91,1211,1.106,0.842,13,harsh,A,59.22,1
M0199,13.31,1.62,92.8,0.37,1608,4.179,0.209,18,outdoor,B,124.57,1
M0200,11.7,0.7,82.82,0.57,2043,3.186,0.073,10,outdoor,B,169.66,1
M0201,9.63,1.64,118.61,0.69,2625,3.393,0.703,14,outdoor,A,92.17,1
M0202,1.26,0.54,66.64,0.65,991,9.838,0.403,5,indoor,C,66.15,1
M0203,2.42,0.53,85.35,0.44,814,6.606,0.92,19,indoor,B,129.63,1
M0204,13.48,0.99,62.52,0.9,2909,7.318,0.65,8,outdoor,B,51.9,1
M0205,9.1,1.23,104.39,0.77,770,9.778,0.09,4,indoor,B,146.16,1
M0206,0.14,1.66,115.08,0.89,1696,4.083,0.948,19,outdoor,A,154.96,0
M0207,1.52,1.52,76.8,0.9,1964,8.117,0.259,1,outdoor,B,80.18,1
M0208,9.95,1.17,111.5,0.82,1853,4.628,0.337,5,outdoor,A,57.1,1
M0209,0.08,0.91,77.53,0.61,715,8.761,0.402,17,outdoor,C,55.53,1
M0210,2.41,2.0,114.65,0.73,643,2.216,0.051,18,outdoor,C,16.16,1
M0211,8.23,1.14,105.24,0.41,764,9.503,0.497,8,harsh,B,83.25,1
M0212,10.38,1.18,108.29,0.77,1964,2.578,0.123,20,outdoor,A,83.27,1
M0213,9.78,0.75,61.08,0.43,1861,3.599,0.401,5,indoor,A,83.89,1
M0214,3.36,1.69,117.77,0.79,1084,7.684,0.351,13,indoor,A,90.59,1
M0215,10.68,1.54,103.6,0.46,2094,4.241,0.773,12,indoor,B,131.4,1
M0216,3.56,0.83,78.29,0.38,2550,6.278,0.803,10,indoor,A,46.67,1
M0217,4.88,0.62,109.76,0.42,604,4.723,0.153,11,indoor,B,167.43,1
M0218,11.2,1.52,76.89,0.3,1745,7.553,0.367,18,indoor,A,185.71,1
M0219,9.74,1.48,112.37,0.8,2223,2.669,0.373,18,outdoor,C,129.59,1
M0220,12.74,0.91,66.75,0.81,1131,1.055,0.151,20,harsh,A,72.48,1
M0221,9.86,1.93,102.22,0.66,1269,3.349,0.798,18,indoor,C,44.84,1
M0222,8.52,0.73,92.44,0.41,2034,5.006,0.707,12,outdoor,C,53.83,1
M0223,1.41,1.15,65.79,0.36,2745,2.096,0.19,13,outdoor,B,76.25,1
M0224,5.52,1.92,74.51,0.31,2525,3.871,0.367,17,indoor,B,53.47,1
M0225,3.98,1.13,60.74,0.42,1958,4.3,0.106,11,harsh,B,84.09,1
M0226,3.66,1.46,88.13,0.92,2326,1.045,0.628,3,outdoor,B,68.32,0
M0227,14.6,1.1,78.08,0.47,1412,6.041,0.121,9,indoor,A,166.75,1
M0228,5.9,0.91,95.9,0.55,2102,8.901,0.986,16,outdoor,A,17.93,1
M0229,13.38,1.98,77.83,0.37,1665,1.942,0.781,3,indoor,B,103.94,1
M0230,9.47,1.11,78.0,0.46,975,6.179,0.39,11,outdoor,B,117.36,1
M0231,11.92,1.84,104.59,0.66,2254,6.815,0.579,12,indoor,B,110.34,1
M0232,7.54,0.84,62.89,0.73,1891,4.484,0.911,3,harsh,A,121.11,1
M0233,8.65,0.82,114.17,0.47,1397,7.16,0.554,9,outdoor,A,107.28,1
M0234,7.39,0.55,111.14,0.34,2778,4.402,0.174,2,outdoor,A,153.0,1
M0235,2.93,1.48,100.07,0.57,552,5.294,0.379,14,indoor,A,84.98,1
M0236,10.84,1.05,95.59,0.46,1289,0.57,0.843,1,outdoor,A,84.77,1
M0237,4.21,1.8,113.54,0.45,642,7.071,0.644,16,outdoor,A,12.09,1
M0238,0.36,1.21,71.12,0.97,2416,6.783,0.651,5,outdoor,A,8.86,1
M0239,9.68,1.95,64.74,0.73,2255,0.865,0.867,7,outdoor,C,41.94,1
M0240,2.66,0.78,74.37,0.69,1328,3.998,0.894,2,outdoor,A,37.07,1
M0241,14.11,1.8,107.67,0.59,2189,9.801,0.92,17,harsh,B,31.33,1
M0242,14.31,1.66,62.08,0.6,1490,4.497,0.095,0,outdoor,A,42.98,1
M0243,13.72,1.66,94.97,0.68,2391,5.268,0.544,15,harsh,C,9.06,1
M0244,5.55,1.77,119.73,0.79,1635,9.144,0.741,6,harsh,B,89.35,1
M0245,0.23,1.64,111.34,0.79,1531,7.314,0.757,2,outdoor,A,8.34,1
M0246,13.92,1.44,91.29,0.42,2837,6.03,0.607,3,indoor,B,104.16,1
M0247,6.42,0.7,63.82,0.65,1127,8.079,0.167,8,outdoor,A,46.12,1
M0248,14.5,0.55,109.88,0.59,801,8.711,0.797,4,harsh,B,92.15,1
M0249,14.45,1.88,95.94,0.91,1961,4.84,0.72,18,indoor,A,164.55,1
M0250,12.8,1.42,66.9,0.74,2923,5.014,0.086,14,outdoor,C,79.48,1
M0251,4.42,1.69,65.63,0.67,1445,4.167,0.464,7,harsh,B,55.42,0
M0252,5.78,1.22,114.58,0.38,655,9.684,0.174,5,indoor,A,7.9,1
M0253,12.77,0.68,100.15,0.72,1348,7.123,0.337,17,outdoor,B,50.86,0
M0254,4.75,0.69,109.76,0.38,1765,1.291,0.018,18,indoor,A,195.5,0
M0255,2.54,1.53,112.74,0.54,905,8.698,0.4,14,indoor,C,132.68,1
M0256,8.35,1.15,94.31,0.4,2145,5.065,0.55,6,outdoor,B,90.9,1
M0257,14.04,0.8,91.05,0.78,2994,1.153,0.62,9,indoor,B,67.86,1
M0258,10.44,1.24,85.83,0.44,1629,5.722,0.663,5,indoor,A,169.78,1
M0259,8.55,0.6,79.02,0.57,1387,4.463,0.836,13,harsh,C,38.66,1
M0260,1.46,1.37,86.08,0.93,1502,8.839,0.215,16,indoor,B,105.63,1
M0261,9.23,0.9,106.43,0.44,788,2.438,0.12,8,harsh,A,26.77,1
M0262,14.85,1.7,96.12,0.66,2708,8.351,0.852,18,harsh,A,105.64,1
M0263,2.1,0.97,113.55,0.59,1537,5.798,0.157,4,indoor,A,45.74,1
M0264,7.77,1.18,86.6,0.31,1468,1.019,0.975,6,indoor,C,49.16,1
M0265,13.16,0.52,96.43,0.85,2149,9.733,0.843,18,outdoor,A,83.65,1
M0266,11.11,0.61,97.88,0.35,1605,5.37,0.501,19,outdoor,B,117.79,1
M0267,10.46,1.09,95.5,0.63,2121,3.263,0.981,6,indoor,A,110.94,1
M0268,10.54,1.22,102.16,0.69,654,4.959,0.097,1,outdoor,A,48.74,1
M0269,5.39,1.4,74.25,0.74,2534,8.65,0.303,15,indoor,B,3.38,1
M0270,4.4,0.94,90.74,0.78,2851,3.397,0.638,12,harsh,C,73.86,1
M0271,12.14,1.54,66.25,0.48,2122,2.33,0.35,7,indoor,B,108.39,0
M0272,12.15,1.79,83.07,0.31,2886,1.726,0.928,5,indoor,C,58.08,0
M0273,13.01,1.67,89.26,0.81,879,3.33,0.066,5,indoor,B,81.66,1
M0274,13.7,0.56,99.13,0.67,1694,7.91,0.549,8,harsh,A,105.98,1
M0275,7.67,1.22,117.03,0.89,2005,4.98,0.591,3,outdoor,A,64.15,1
M0276,7.52,0.66,96.04,0.87,1954,2.661,0.653,10,harsh,B,63.78,1
M0277,11.97,0.86,104.62,0.89,1504,2.079,0.256,4,indoor,C,69.3,1
M0278,9.75,1.98,90.38,0.64,1345,3.661,0.365,16,indoor,C,71.91,1
M0279,10.53,0.71,98.05,0.53,817,9.429,0.844,19,indoor,A,145.54,1
M0280,11.94,1.25,64.26,0.85,1479,3.759,0.195,6,outdoor,A,92.67,1
M0281,13.35,1.43,75.26,0.62,907,9.887,0.827,14,outdoor,A,59.03,1
M0282,5.07,1.55,81.71,0.43,2336,5.11,0.563,14,outdoor,C,44.53,1
M0283,5.63,1.34,88.35,0.9,1022,2.202,0.762,13,indoor,C,20.11,1
M0284,1.41,0.51,62.74,0.92,646,8.966,0.714,12,harsh,C,66.5,1
M0285,8.67,0.99,68.4,0.63,1881,4.873,0.208,10,indoor,A,67.53,1
M0286,0.54,1.28,76.61,0.35,1988,7.242,0.569,12,harsh,B,31.46,1
M0287,6.98,0.63,118.29,0.57,2680,9.845,0.868,8,indoor,B,81.88,0
M0288,8.14,1.03,79.88,0.86,1942,0.977,0.432,9,outdoor,A,67.19,0
M0289,4.3,0.55,88.92,0.93,1364,1.419,0.967,3,indoor,B,141.11,1
M0290,8.86,0.62,71.77,0.44,2508,7.344,0.452,16,outdoor,A,91.98,1
M0291,0.46,1.1,96.65,0.35,1851,3.177,0.143,13,outdoor,A,183.32,1
M0292,0.56,0.7,76.84,0.91,698,2.251,0.389,17,outdoor,C,143.68,0
M0293,12.34,1.35,72.42,0.57,1915,0.874,0.952,10,outdoor,C,104.9,1
M0294,5.4,1.53,90.99,0.68,2770,0.708,0.32,15,outdoor,B,103.29,1
M0295,1.91,1.7,60.33,0.98,1491,7.858,0.868,0,outdoor,B,54.76,1
M0296,7.83,0.8,60.46,0.35,1241,1.777,0.881,6,harsh,A,155.08,0
M0297,11.55,0.75,73.14,0.75,859,4.943,0.35,9,indoor,B,66.22,1
M0298,3.24,0.66,62.2,0.35,879,6.256,0.083,8,outdoor,C,46.03,1
M0299,9.34,1.45,66.48,0.56,1582,4.569,0.725,2,outdoor,C,58.31,1
M0300,1.28,1.56,80.33,0.86,1989,0.758,0.312,13,indoor,B,32.51,1
M0301,0.78,0.55,108.16,0.6,702,7.943,0.783,14,outdoor,A,217.57,1
M0302,7.97,1.9,94.32,1.0,2849,0.6,0.443,1,indoor,A,103.99,1
M0303,8.11,0.58,90.76,0.69,2388,7.738,0.485,13,indoor,B,95.93,1
M0304,9.56,1.31,77.61,0.52,1967,8.986,0.778,15,indoor,A,120.05,1
M0305,10.89,1.56,115.91,0.45,2571,4.612,0.382,6,indoor,C,63.45,1
M0306,14.64,1.81,83.82,0.55,700,5.588,0.443,3,outdoor,A,16.62,1
